 # target background plasma written by write_bgplasma in module_bgplasma.f90
  ntargets
          124
    idx     id             ne             Te             Ti          vpara          Epara
    108    109    0.15090E+20    0.22314E+01    0.22314E+01   -0.14620E+05   -0.40806E+02
    109    110    0.14292E+20    0.21525E+01    0.21525E+01   -0.14359E+05   -0.39563E+02
    110    111    0.13484E+20    0.20749E+01    0.20749E+01   -0.14098E+05   -0.38399E+02
    111    112    0.12667E+20    0.19989E+01    0.19989E+01   -0.13838E+05   -0.38713E+02
    112    113    0.11846E+20    0.19250E+01    0.19250E+01   -0.13579E+05   -0.35768E+02
    113    114    0.11025E+20    0.18533E+01    0.18533E+01   -0.13324E+05   -0.34120E+02
    114    115    0.10207E+20    0.17843E+01    0.17843E+01   -0.13074E+05   -0.32694E+02
    115    116    0.93970E+19    0.17183E+01    0.17183E+01   -0.12829E+05   -0.31258E+02
    116    117    0.86015E+19    0.16555E+01    0.16555E+01   -0.12593E+05   -0.29826E+02
    117    118    0.78265E+19    0.15963E+01    0.15963E+01   -0.12366E+05   -0.28401E+02
    118    119    0.70788E+19    0.15411E+01    0.15411E+01   -0.12150E+05   -0.27004E+02
    119    120    0.64637E+19    0.14901E+01    0.14901E+01   -0.11947E+05   -0.25747E+02
    120    121    0.62588E+19    0.14436E+01    0.14436E+01   -0.11760E+05   -0.24919E+02
    121    122    0.60712E+19    0.14021E+01    0.14021E+01   -0.11589E+05   -0.24137E+02
    122    123    0.59037E+19    0.13658E+01    0.13658E+01   -0.11438E+05   -0.23448E+02
    123    124    0.00000E+00    0.10000E+01    0.10000E+01   -0.97872E+04    0.00000E+00
